datetime,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL,RSI_AAPL,MA100_AAPL,MA200_AAPL,BBL_AAPL,BBM_AAPL,BBU_AAPL,open_GOOGL,high_GOOGL,low_GOOGL,close_GOOGL,volume_GOOGL,RSI_GOOGL,OBV_GOOGL,MACD_GOOGL,MACD_signal_GOOGL,MACD_hist_GOOGL,TARGET_close_AAPL
2018-03-27,43.42,43.7875,41.73,42.084999,163690400.0,42.55698879592744,43.06942501,40.814174995500004,41.764876851192454,43.85350005,45.94212324880755,53.195,53.227,49.881,50.347,60816000.0,33.049658727335675,8905651596.0,-0.8854592693493473,-0.22704339823024303,-0.6584158711191043,42.084999
2018-03-28,41.8125,42.505,41.2975,41.62,166674000.0,40.313838519445824,43.06840001,40.8404999955,41.431195287883334,43.70800005,45.98480481211667,50.095501,51.2495,49.2,50.259,77698000.0,32.8266834351555,8827953596.0,-1.10454511527292,-0.40254374163877843,-0.7020013736341415,41.62
2018-03-29,41.9525,42.9375,41.725,41.945,153594000.0,42.59145221149225,43.06757501,40.8669874955,41.21513882241923,43.61775005,46.02036127758077,50.5605,52.4025,50.202,51.857,69338000.0,40.65634260414307,8897291596.0,-1.1361303778595087,-0.5492610688829245,-0.5868693089765842,41.945
2018-04-02,41.66,42.235,41.1175,41.67,150347200.0,41.16019446721755,43.05302501,40.893887495499996,40.96155542928395,43.49862495000001,46.03569447071607,51.381,51.9765,49.7125,50.6315,65068000.0,37.08624452494014,8832223596.0,-1.2456899952380667,-0.688546854153953,-0.5571431410841137,41.67
2018-04-03,41.91,42.1875,41.22,42.0975,121112000.0,44.29409182989058,43.03837501,40.9240125055,40.80768554869484,43.39324995,45.978814351305154,50.8075,51.25,49.8625,50.934,51322000.0,38.52131476387241,8883545596.0,-1.2932003507883536,-0.8094775534808332,-0.48372279730752044,42.0975
2018-04-04,41.22,43.0024986,41.1925,42.9025,138422000.0,49.72429584892422,43.03037501,40.9606875055,40.76145649154022,43.32999995,45.89854340845978,49.9115,51.637,49.8255,51.4855,50724000.0,41.15661451180006,8934269596.0,-1.2716919358971168,-0.9019204299640899,-0.3697715059330269,42.9025
2018-04-05,43.145,43.5575,43.02,43.2,107732800.0,51.60196216629346,43.021775,40.9937625055,40.74065346385253,43.30212495,45.86359643614747,52.3195,52.3355,51.2,51.632,35836000.0,41.86944571904312,8970105596.0,-1.2286617882085764,-0.9672687016129873,-0.26139308659558913,43.2
2018-04-06,42.7425,43.12,42.049999,42.095001,140021200.0,44.89510787151312,43.00302501,41.0229750105,40.61971849004924,43.195125000000004,45.77053150995077,51.155,51.8,50.3125,50.4975,40134000.0,38.02760314449407,8929971596.0,-1.2714482902963695,-1.0281046193496637,-0.24334367094670584,42.095001
2018-04-09,42.47,43.2725,42.4625,42.5125,116070800.0,47.6629428448678,42.99147501,41.05320001049999,40.618169797153335,43.071000000000005,45.523830202846675,51.0019989,52.2295,50.96,51.0045013,33220000.0,40.64857732720396,8963191596.0,-1.2500364911879842,-1.072490993717328,-0.1775454974706563,42.5125
2018-04-10,43.25,43.5,42.8825,43.3125,113634400.0,52.57821084270179,42.98967501,41.0877250105,40.75826610294815,42.965125,45.17198389705185,51.513,52.060501,50.7705,51.825,36620000.0,44.72296804237292,8999811596.0,-1.1535625472576214,-1.0887053044253867,-0.06485724283223471,43.3125
2018-04-11,43.057499,43.48,42.925,43.11,89726400.0,51.26575416329478,42.99242501,41.1204250105,40.86677047122917,42.871,44.87522952877084,51.6,51.7935,50.96,51.253,34060000.0,42.53097249328044,8965751596.0,-1.1104611661468553,-1.0930564767696804,-0.017404689377174876,43.11
2018-04-12,43.3525,43.75,43.26,43.535,91557200.0,53.86846355402443,43.00507501,41.1558250105,40.94943449679927,42.81725,44.68506550320073,51.5735,52.2325,51.3025,51.8645,32896000.0,45.60061738123294,8998647596.0,-1.0152568229273484,-1.077496546001214,0.062239723073865605,43.535
2018-04-13,43.695,43.96,43.4625,43.6825,100497200.0,54.771267849461815,43.01415001,41.194575010499996,41.05131297319995,42.76825,44.485187026800055,52.3445,52.649,51.5075,51.802,25410000.0,45.33408658417584,8973237596.0,-0.9340824021949459,-1.0488137172399605,0.11473131504501466,43.6825
2018-04-16,43.7575,44.047501,43.7075,43.955,86313600.0,56.46630941827518,43.028325009999996,41.2320625105,41.12110103988642,42.740750000000006,44.36039896011359,52.2775,52.5715,51.696,52.305,29776000.0,47.969838324637514,9003013596.0,-0.8197140394878417,-1.002993781689537,0.18327974220169518,43.955
2018-04-17,44.1225,44.735,44.1025,44.56,106421600.0,60.046410539124224,43.04897500999999,41.275262510500006,41.03260028826954,42.777499999999996,44.52239971173045,53.060001,54.25,52.8545,53.968,54584000.0,55.593196920344916,9057597596.0,-0.5881067577146126,-0.9200163768945521,0.33190961917993944,44.56
2018-04-18,44.4525,44.705,44.22,44.46,83018000.0,59.18009761536074,43.06072501,41.317537505,40.9678816530969,42.81,44.6521183469031,53.9505,54.099998,53.526,53.7695,31126000.0,54.56550649646962,9026471596.0,-0.4157807476904054,-0.8191692510537227,0.40338850336331733,44.46
2018-04-19,43.44,43.8475,43.165,43.2,139235200.0,49.491263655787996,43.05532501,41.354162505000005,40.9791667054709,42.829125,44.67908329452909,53.451,54.8755,53.451,54.4725,39884000.0,57.55788918027894,9066355596.0,-0.2199494777547386,-0.6993252963939259,0.4793758186391873,43.2
2018-04-20,42.65,42.805,41.3575,41.43,261964400.0,39.66677177206683,43.03220001,41.38120001,40.85824237959392,42.790000000000006,44.721757620406095,54.2135,54.7375,53.605,53.866,42434000.0,54.23892418247529,9023921596.0,-0.11239563973956024,-0.5819393650630528,0.46954372532349253,41.43
2018-04-23,41.7075,41.73,41.022499,41.31,146062000.0,39.10007362365718,43.01007501,41.40933751000001,40.87382649787889,42.79375,44.71367350212112,54.149,54.4,53.334,53.6905,69590000.0,53.28149813165595,8954331596.0,-0.04084895024345769,-0.4737212820991338,0.4328723318556761,41.31
2018-04-24,41.4175,41.5825,40.305,40.735,134768000.0,36.41545868278321,42.98475001,41.432787520000005,40.5633638632567,42.670875,44.77838613674331,52.96,53.2245,50.643,51.132,128220000.0,41.71963847183886,8826111596.0,-0.18842520262977303,-0.41666206620526164,0.2282368635754886,40.735
